Node 1,Node 2,Weight,Count 1,Count 2
"shu, p","zhang, w",1,1,11
"ma, t","shu, p",1,7,1
"dou, y","shu, p",1,1,1
"shu, p","zhang, jl",1,1,2
"gong, xy","shu, p",1,3,1
"gan, q","shu, p",1,1,1
"shu, p","zou, ys",1,1,1
"chen, zb","shu, p",1,1,1
"qian, yx","shu, p",1,1,1
"shu, p","yu, s",1,1,2
"lu, j","shu, p",1,9,1
"shu, p","song, kn",1,1,1
"shu, p","wang, xq",1,1,3
"shu, p","sikora, a",1,1,1
"li, g","shu, p",1,9,1
"li, x","shu, p",1,27,1
"li, qz","shu, p",1,2,1
"shu, p","wang, yf",1,1,14
"shu, p","zhang, l",1,1,17
"abate, y","shu, p",1,1,1
"he, lf","shu, p",1,1,1
"shu, p","zhong, wx",1,1,1
"liu, rj","shu, p",1,4,1
"huang, c","shu, p",1,5,1
"liu, w","shu, p",1,10,1
"shen, y","shu, p",1,7,1
"ma, p","shu, p",1,3,1
"shu, p","zhu, ht",1,1,1
"shu, p","yan, yj",1,1,1
"shu, p","zhu, dj",1,1,1
"liu, tm","shu, p",1,3,1
"ge, y","lu, y",1,1,7
"gao, s","ge, y",1,6,1
"ge, y","wang, y",1,1,41
"ge, y","wang, pl",1,1,2
"ge, y","zhao, l",1,1,6
"ge, y","wang, t",1,1,10
"ge, y","liu, yf",1,1,10
"fang, ly","ge, y",1,1,1
"ge, y","liu, zy",1,1,8
"ge, y","liu, zl",1,1,4
"ge, y","li, yw",1,1,5
"ge, y","wu, zh",1,1,4
"chen, jh","ge, y",1,5,1
"ge, y","jiang, hq",1,1,1
"ge, y","pan, y",1,1,4
"ge, y","yang, zy",1,1,5
"chen, jy","ge, y",1,9,1
"ge, y","liang, sz",1,1,1
"ge, y","zhang, w",1,1,11
"ge, y","ma, t",1,1,7
"dou, y","ge, y",1,1,1
"ge, y","zhang, jl",1,1,2
"ge, y","gong, xy",1,1,3
"gan, q","ge, y",1,1,1
"ge, y","zou, ys",1,1,1
"chen, zb","ge, y",1,1,1
"ge, y","qian, yx",1,1,1
"ge, y","yu, s",1,1,2
"ge, y","lu, j",1,1,9
"ge, y","song, kn",1,1,1
"ge, y","wang, xq",1,1,3
"ge, y","sikora, a",1,1,1
"ge, y","li, g",1,1,9
"ge, y","li, x",1,1,27
"ge, y","li, qz",1,1,2
"ge, y","wang, yf",1,1,14
"ge, y","zhang, l",1,1,17
"abate, y","ge, y",1,1,1
"ge, y","he, lf",1,1,1
"ge, y","zhong, wx",1,1,1
"ge, y","liu, rj",1,1,4
